sku_id,item_name,score,text,aspect,sentiment,confidence,raw_result
7534113,comment,5,还可以刷脸解锁，帮朋友买的，她很满意,['Global Sentiment'],['Positive'],[0.9707223773002625],"{'text': '还可以刷脸解锁，帮朋友买的，她很满意', 'aspect': ['Global Sentiment'], 'sentiment': ['Positive'], 'confidence': [0.9707223773002625], 'probs': [array([7.4897916e-04, 2.8528715e-02, 9.7072238e-01], dtype=float32)], 'ref_sentiment': ['-100'], 'ref_check': [''], 'perplexity': 'N.A.'}"
7534113,comment,5,第一次买vivo，真心不错，1498的机子，没想到照相很清晰，性价比很高，买值了，还送了小音响，用了，真不错，机子贴膜都贴好了，不用自己单贴膜，拿起来就用，系统也不错，很快，国产的品牌真挺不错的。,['Global Sentiment'],['Positive'],[0.99544757604599],"{'text': '第一次买vivo，真心不错，1498的机子，没想到照相很清晰，性价比很高，买值了，还送了小音响，用了，真不错，机子贴膜都贴好了，不用自己单贴膜，拿起来就用，系统也不错，很快，国产的品牌真挺不错的。', 'aspect': ['Global Sentiment'], 'sentiment': ['Positive'], 'confidence': [0.99544757604599], 'probs': [array([8.1106822e-04, 3.7412858e-03, 9.9544758e-01], dtype=float32)], 'ref_sentiment': ['-100'], 'ref_check': [''], 'perplexity': 'N.A.'}"
7534113,comment,5,手机好用快递送的快。,['Global Sentiment'],['Positive'],[0.9955553412437439],"{'text': '手机好用快递送的快。', 'aspect': ['Global Sentiment'], 'sentiment': ['Positive'], 'confidence': [0.9955553412437439], 'probs': [array([0.00113722, 0.00330747, 0.99555534], dtype=float32)], 'ref_sentiment': ['-100'], 'ref_check': [''], 'perplexity': 'N.A.'}"
8240587,comment,5,手机收到。外观设计很好！美观大方。我喜欢！一直使用华为手机。从荣耀七，荣耀八，荣耀九。反正一出新机就想换。荣耀十就想换。一直考虑。看见这款机挺心动！现在手里的荣耀七，荣耀八。想不出处理办法！有不敢随便处理。怕高手把里面资料回复。留在手里也不是办法。给人也不敢。如果有好的方法！介绍个！,['Global Sentiment'],['Positive'],[0.998336672782898],"{'text': '手机收到。外观设计很好！美观大方。我喜欢！一直使用华为手机。从荣耀七，荣耀八，荣耀九。反正一出新机就想换。荣耀十就想换。一直考虑。看见这款机挺心动！现在手里的荣耀七，荣耀八。想不出处理办法！有不敢随便处理。怕高手把里面资料回复。留在手里也不是办法。给人也不敢。如果有好的方法！介绍个！', 'aspect': ['Global Sentiment'], 'sentiment': ['Positive'], 'confidence': [0.998336672782898], 'probs': [array([6.0448697e-04, 1.0588623e-03, 9.9833667e-01], dtype=float32)], 'ref_sentiment': ['-100'], 'ref_check': [''], 'perplexity': 'N.A.'}"
5942439,comment,5,收到了，挺好的，声音大，电池大，好用发货速度快，非常满意，好好好。,['Global Sentiment'],['Positive'],[0.9823582768440247],"{'text': '收到了，挺好的，声音大，电池大，好用发货速度快，非常满意，好好好。', 'aspect': ['Global Sentiment'], 'sentiment': ['Positive'], 'confidence': [0.9823582768440247], 'probs': [array([0.01192131, 0.00572038, 0.9823583 ], dtype=float32)], 'ref_sentiment': ['-100'], 'ref_check': [''], 'perplexity': 'N.A.'}"
5089275,comment,5,本来觉得双十一还会便宜的，想不到和11月初的价格差不多，想想还是感觉入手了，早买早享受。我的5s也该退休了，16G的内存完全不够用。值得表扬的是快递真的太快了，双十一买的，12号下午就到了。然后玩了一晚上，机子运行速度挺快，不过有些网上传的小问题，出现了两次开机闪屏的现象，后来就好了，不影响机子运行。打电话有轻微电流声，可以接受。整天感觉还行，等用段时间在看看。,['Global Sentiment'],['Positive'],[0.8824568390846252],"{'text': '本来觉得双十一还会便宜的，想不到和11月初的价格差不多，想想还是感觉入手了，早买早享受。我的5s也该退休了，16G的内存完全不够用。值得表扬的是快递真的太快了，双十一买的，12号下午就到了。然后玩了一晚上，机子运行速度挺快，不过有些网上传的小问题，出现了两次开机闪屏的现象，后来就好了，不影响机子运行。打电话有轻微电流声，可以接受。整天感觉还行，等用段时间在看看。', 'aspect': ['Global Sentiment'], 'sentiment': ['Positive'], 'confidence': [0.8824568390846252], 'probs': [array([0.04731349, 0.07022961, 0.88245684], dtype=float32)], 'ref_sentiment': ['-100'], 'ref_check': [''], 'perplexity': 'N.A.'}"
7081550,comment,5,没有真正意义上的窄边框，不过已经不错了，手机流畅，另外还有51G空间可用，同时试了下近距拍摄，我的发毛清晰可见,['Global Sentiment'],['Positive'],[0.576867938041687],"{'text': '没有真正意义上的窄边框，不过已经不错了，手机流畅，另外还有51G空间可用，同时试了下近距拍摄，我的发毛清晰可见', 'aspect': ['Global Sentiment'], 'sentiment': ['Positive'], 'confidence': [0.576867938041687], 'probs': [array([0.09937844, 0.3237536 , 0.57686794], dtype=float32)], 'ref_sentiment': ['-100'], 'ref_check': [''], 'perplexity': 'N.A.'}"
5663902,comment,5,幻夜黑颜色很漂亮，2.5D屏幕，圆润。2K屏很清晰，惊艳,['Global Sentiment'],['Positive'],[0.9940696954727173],"{'text': '幻夜黑颜色很漂亮，2.5D屏幕，圆润。2K屏很清晰，惊艳', 'aspect': ['Global Sentiment'], 'sentiment': ['Positive'], 'confidence': [0.9940696954727173], 'probs': [array([7.2215858e-04, 5.2082217e-03, 9.9406970e-01], dtype=float32)], 'ref_sentiment': ['-100'], 'ref_check': [''], 'perplexity': 'N.A.'}"
7283905,comment,5,特地用了一段时间才来评价，这手机值得这个价钱，打游戏还行，就是电池很不耐用，摄像头也很突出，人脸识别很鸡肋，但是总体感觉还是很好的,['Global Sentiment'],['Positive'],[0.8721076250076294],"{'text': '特地用了一段时间才来评价，这手机值得这个价钱，打游戏还行，就是电池很不耐用，摄像头也很突出，人脸识别很鸡肋，但是总体感觉还是很好的', 'aspect': ['Global Sentiment'], 'sentiment': ['Positive'], 'confidence': [0.8721076250076294], 'probs': [array([0.09988446, 0.02800793, 0.8721076 ], dtype=float32)], 'ref_sentiment': ['-100'], 'ref_check': [''], 'perplexity': 'N.A.'}"
5001213,comment,5,机器没得说，价格也合理，虽说仍有不足，但还是比较满意的，首发就抢到了，暂时发现的不足就是扬声器没有现在用的note2好，虽说有点儿立体声，但是低音一般，还有就是显示，应该是屏幕的问题，比如说看新闻的时候，向下滑动，字体会模糊，这点不满意，其他都不错,['Global Sentiment'],['Positive'],[0.9694206118583679],"{'text': '机器没得说，价格也合理，虽说仍有不足，但还是比较满意的，首发就抢到了，暂时发现的不足就是扬声器没有现在用的note2好，虽说有点儿立体声，但是低音一般，还有就是显示，应该是屏幕的问题，比如说看新闻的时候，向下滑动，字体会模糊，这点不满意，其他都不错', 'aspect': ['Global Sentiment'], 'sentiment': ['Positive'], 'confidence': [0.9694206118583679], 'probs': [array([0.01870594, 0.01187342, 0.9694206 ], dtype=float32)], 'ref_sentiment': ['-100'], 'ref_check': [''], 'perplexity': 'N.A.'}"
