sku_id,item_name,score,text,aspect,sentiment,confidence,raw_result,sentiment_label,confidence_value,sentiment_score,is_positive,is_negative,is_neutral
7534113,comment,5,还可以刷脸解锁，帮朋友买的，她很满意,['Global Sentiment'],['Positive'],[0.9707212448120117],"{'text': '还可以刷脸解锁，帮朋友买的，她很满意', 'aspect': ['Global Sentiment'], 'sentiment': ['Positive'], 'confidence': [0.9707212448120117], 'probs': [array([7.4899680e-04, 2.8529776e-02, 9.7072124e-01], dtype=float32)], 'ref_sentiment': ['-100'], 'ref_check': [''], 'perplexity': 'N.A.'}",Positive,0.9707212448120117,0.9707212448120117,1,0,0
7534113,comment,5,第一次买vivo，真心不错，1498的机子，没想到照相很清晰，性价比很高，买值了，还送了小音响，用了，真不错，机子贴膜都贴好了，不用自己单贴膜，拿起来就用，系统也不错，很快，国产的品牌真挺不错的。,['Global Sentiment'],['Positive'],[0.99544757604599],"{'text': '第一次买vivo，真心不错，1498的机子，没想到照相很清晰，性价比很高，买值了，还送了小音响，用了，真不错，机子贴膜都贴好了，不用自己单贴膜，拿起来就用，系统也不错，很快，国产的品牌真挺不错的。', 'aspect': ['Global Sentiment'], 'sentiment': ['Positive'], 'confidence': [0.99544757604599], 'probs': [array([8.1106898e-04, 3.7413929e-03, 9.9544758e-01], dtype=float32)], 'ref_sentiment': ['-100'], 'ref_check': [''], 'perplexity': 'N.A.'}",Positive,0.99544757604599,0.99544757604599,1,0,0
7534113,comment,5,手机好用快递送的快。,['Global Sentiment'],['Positive'],[0.9955553412437439],"{'text': '手机好用快递送的快。', 'aspect': ['Global Sentiment'], 'sentiment': ['Positive'], 'confidence': [0.9955553412437439], 'probs': [array([0.0011372 , 0.00330751, 0.99555534], dtype=float32)], 'ref_sentiment': ['-100'], 'ref_check': [''], 'perplexity': 'N.A.'}",Positive,0.9955553412437439,0.9955553412437439,1,0,0
8240587,comment,5,手机收到。外观设计很好！美观大方。我喜欢！一直使用华为手机。从荣耀七，荣耀八，荣耀九。反正一出新机就想换。荣耀十就想换。一直考虑。看见这款机挺心动！现在手里的荣耀七，荣耀八。想不出处理办法！有不敢随便处理。怕高手把里面资料回复。留在手里也不是办法。给人也不敢。如果有好的方法！介绍个！,['Global Sentiment'],['Positive'],[0.9983365535736084],"{'text': '手机收到。外观设计很好！美观大方。我喜欢！一直使用华为手机。从荣耀七，荣耀八，荣耀九。反正一出新机就想换。荣耀十就想换。一直考虑。看见这款机挺心动！现在手里的荣耀七，荣耀八。想不出处理办法！有不敢随便处理。怕高手把里面资料回复。留在手里也不是办法。给人也不敢。如果有好的方法！介绍个！', 'aspect': ['Global Sentiment'], 'sentiment': ['Positive'], 'confidence': [0.9983365535736084], 'probs': [array([6.0449494e-04, 1.0588819e-03, 9.9833655e-01], dtype=float32)], 'ref_sentiment': ['-100'], 'ref_check': [''], 'perplexity': 'N.A.'}",Positive,0.9983365535736084,0.9983365535736084,1,0,0
5942439,comment,5,收到了，挺好的，声音大，电池大，好用发货速度快，非常满意，好好好。,['Global Sentiment'],['Positive'],[0.9823581576347351],"{'text': '收到了，挺好的，声音大，电池大，好用发货速度快，非常满意，好好好。', 'aspect': ['Global Sentiment'], 'sentiment': ['Positive'], 'confidence': [0.9823581576347351], 'probs': [array([0.01192136, 0.0057204 , 0.98235816], dtype=float32)], 'ref_sentiment': ['-100'], 'ref_check': [''], 'perplexity': 'N.A.'}",Positive,0.9823581576347351,0.9823581576347351,1,0,0
5089275,comment,5,本来觉得双十一还会便宜的，想不到和11月初的价格差不多，想想还是感觉入手了，早买早享受。我的5s也该退休了，16G的内存完全不够用。值得表扬的是快递真的太快了，双十一买的，12号下午就到了。然后玩了一晚上，机子运行速度挺快，不过有些网上传的小问题，出现了两次开机闪屏的现象，后来就好了，不影响机子运行。打电话有轻微电流声，可以接受。整天感觉还行，等用段时间在看看。,['Global Sentiment'],['Positive'],[0.8824591636657715],"{'text': '本来觉得双十一还会便宜的，想不到和11月初的价格差不多，想想还是感觉入手了，早买早享受。我的5s也该退休了，16G的内存完全不够用。值得表扬的是快递真的太快了，双十一买的，12号下午就到了。然后玩了一晚上，机子运行速度挺快，不过有些网上传的小问题，出现了两次开机闪屏的现象，后来就好了，不影响机子运行。打电话有轻微电流声，可以接受。整天感觉还行，等用段时间在看看。', 'aspect': ['Global Sentiment'], 'sentiment': ['Positive'], 'confidence': [0.8824591636657715], 'probs': [array([0.04731176, 0.07022914, 0.88245916], dtype=float32)], 'ref_sentiment': ['-100'], 'ref_check': [''], 'perplexity': 'N.A.'}",Positive,0.8824591636657715,0.8824591636657715,1,0,0
7081550,comment,5,没有真正意义上的窄边框，不过已经不错了，手机流畅，另外还有51G空间可用，同时试了下近距拍摄，我的发毛清晰可见,['Global Sentiment'],['Positive'],[0.5768662691116333],"{'text': '没有真正意义上的窄边框，不过已经不错了，手机流畅，另外还有51G空间可用，同时试了下近距拍摄，我的发毛清晰可见', 'aspect': ['Global Sentiment'], 'sentiment': ['Positive'], 'confidence': [0.5768662691116333], 'probs': [array([0.09937815, 0.32375556, 0.57686627], dtype=float32)], 'ref_sentiment': ['-100'], 'ref_check': [''], 'perplexity': 'N.A.'}",Positive,0.5768662691116333,0.5768662691116333,1,0,0
5663902,comment,5,幻夜黑颜色很漂亮，2.5D屏幕，圆润。2K屏很清晰，惊艳,['Global Sentiment'],['Positive'],[0.9940696954727173],"{'text': '幻夜黑颜色很漂亮，2.5D屏幕，圆润。2K屏很清晰，惊艳', 'aspect': ['Global Sentiment'], 'sentiment': ['Positive'], 'confidence': [0.9940696954727173], 'probs': [array([7.2214415e-04, 5.2081621e-03, 9.9406970e-01], dtype=float32)], 'ref_sentiment': ['-100'], 'ref_check': [''], 'perplexity': 'N.A.'}",Positive,0.9940696954727173,0.9940696954727173,1,0,0
7283905,comment,5,特地用了一段时间才来评价，这手机值得这个价钱，打游戏还行，就是电池很不耐用，摄像头也很突出，人脸识别很鸡肋，但是总体感觉还是很好的,['Global Sentiment'],['Positive'],[0.8721053004264832],"{'text': '特地用了一段时间才来评价，这手机值得这个价钱，打游戏还行，就是电池很不耐用，摄像头也很突出，人脸识别很鸡肋，但是总体感觉还是很好的', 'aspect': ['Global Sentiment'], 'sentiment': ['Positive'], 'confidence': [0.8721053004264832], 'probs': [array([0.09988679, 0.02800799, 0.8721053 ], dtype=float32)], 'ref_sentiment': ['-100'], 'ref_check': [''], 'perplexity': 'N.A.'}",Positive,0.8721053004264832,0.8721053004264832,1,0,0
5001213,comment,5,机器没得说，价格也合理，虽说仍有不足，但还是比较满意的，首发就抢到了，暂时发现的不足就是扬声器没有现在用的note2好，虽说有点儿立体声，但是低音一般，还有就是显示，应该是屏幕的问题，比如说看新闻的时候，向下滑动，字体会模糊，这点不满意，其他都不错,['Global Sentiment'],['Positive'],[0.9694212079048157],"{'text': '机器没得说，价格也合理，虽说仍有不足，但还是比较满意的，首发就抢到了，暂时发现的不足就是扬声器没有现在用的note2好，虽说有点儿立体声，但是低音一般，还有就是显示，应该是屏幕的问题，比如说看新闻的时候，向下滑动，字体会模糊，这点不满意，其他都不错', 'aspect': ['Global Sentiment'], 'sentiment': ['Positive'], 'confidence': [0.9694212079048157], 'probs': [array([0.01870574, 0.01187306, 0.9694212 ], dtype=float32)], 'ref_sentiment': ['-100'], 'ref_check': [''], 'perplexity': 'N.A.'}",Positive,0.9694212079048157,0.9694212079048157,1,0,0
